Data,Hora,Download,Upload,ID do Servidor,Nome do Servidor,IP,Ping
05 May 2023,21:40,311.09 Mb/s,170.34 Mb/s,12717,Bento Gonçalves,138.59.48.128,4882
05 May 2023,21:41,311.04 Mb/s,97.08 Mb/s,12717,Bento Gonçalves,138.59.48.128,4587
05 May 2023,21:42,310.99 Mb/s,170.10 Mb/s,12717,Bento Gonçalves,138.59.48.128,5505
05 May 2023,21:43,310.61 Mb/s,173.90 Mb/s,12717,Bento Gonçalves,138.59.48.128,5915
05 May 2023,21:44,310.57 Mb/s,168.45 Mb/s,12717,Bento Gonçalves,138.59.48.128,6077
05 May 2023,21:45,309.94 Mb/s,152.62 Mb/s,12717,Bento Gonçalves,138.59.48.128,6324
05 May 2023,21:46,207.60 Mb/s,83.49 Mb/s,12717,Bento Gonçalves,138.59.48.128,5059
05 May 2023,21:47,306.79 Mb/s,140.65 Mb/s,12717,Bento Gonçalves,138.59.48.128,5353
05 May 2023,21:48,310.06 Mb/s,54.56 Mb/s,12717,Bento Gonçalves,138.59.48.128,6455
05 May 2023,21:49,306.90 Mb/s,51.89 Mb/s,12717,Bento Gonçalves,138.59.48.128,5866
05 May 2023,21:50,311.03 Mb/s,161.98 Mb/s,12717,Bento Gonçalves,138.59.48.128,5684
05 May 2023,21:51,309.94 Mb/s,83.04 Mb/s,12717,Bento Gonçalves,138.59.48.128,4986
05 May 2023,21:52,311.24 Mb/s,162.93 Mb/s,12717,Bento Gonçalves,138.59.48.128,6300
05 May 2023,21:53,310.72 Mb/s,116.00 Mb/s,12717,Bento Gonçalves,138.59.48.128,6069
05 May 2023,21:54,311.27 Mb/s,76.08 Mb/s,12717,Bento Gonçalves,138.59.48.128,5426
05 May 2023,21:55,311.01 Mb/s,172.04 Mb/s,12717,Bento Gonçalves,138.59.48.128,6355
05 May 2023,21:56,309.81 Mb/s,173.93 Mb/s,12717,Bento Gonçalves,138.59.48.128,5108
05 May 2023,21:57,310.37 Mb/s,171.69 Mb/s,12717,Bento Gonçalves,138.59.48.128,6025
05 May 2023,21:58,311.03 Mb/s,119.49 Mb/s,12717,Bento Gonçalves,138.59.48.128,5945
05 May 2023,21:59,311.22 Mb/s,65.18 Mb/s,12717,Bento Gonçalves,138.59.48.128,5615
05 May 2023,22:00,0.00 Mb/s,0.00 Mb/s,,,,0
05 May 2023,22:01,310.21 Mb/s,102.43 Mb/s,12717,Bento Gonçalves,138.59.48.128,4673
05 May 2023,22:02,311.00 Mb/s,170.11 Mb/s,12717,Bento Gonçalves,138.59.48.128,6067
05 May 2023,22:03,310.06 Mb/s,167.50 Mb/s,12717,Bento Gonçalves,138.59.48.128,5031
05 May 2023,22:04,310.79 Mb/s,119.70 Mb/s,12717,Bento Gonçalves,138.59.48.128,5928
05 May 2023,22:05,311.03 Mb/s,62.40 Mb/s,12717,Bento Gonçalves,138.59.48.128,5441
05 May 2023,22:06,311.00 Mb/s,64.11 Mb/s,12717,Bento Gonçalves,138.59.48.128,4708
05 May 2023,22:07,174.04 Mb/s,173.55 Mb/s,12717,Bento Gonçalves,138.59.48.128,4114
05 May 2023,22:08,311.16 Mb/s,112.51 Mb/s,12717,Bento Gonçalves,138.59.48.128,6340
05 May 2023,22:09,310.77 Mb/s,165.87 Mb/s,12717,Bento Gonçalves,138.59.48.128,5832
05 May 2023,22:10,310.61 Mb/s,154.95 Mb/s,12717,Bento Gonçalves,138.59.48.128,5381
05 May 2023,22:11,311.14 Mb/s,95.25 Mb/s,12717,Bento Gonçalves,138.59.48.128,5445
05 May 2023,22:12,311.15 Mb/s,48.46 Mb/s,12717,Bento Gonçalves,138.59.48.128,5849
05 May 2023,22:13,311.16 Mb/s,163.60 Mb/s,12717,Bento Gonçalves,138.59.48.128,4945
05 May 2023,22:14,310.83 Mb/s,160.79 Mb/s,12717,Bento Gonçalves,138.59.48.128,5857
05 May 2023,22:15,311.01 Mb/s,157.68 Mb/s,12717,Bento Gonçalves,138.59.48.128,6303
05 May 2023,22:16,309.97 Mb/s,15.10 Mb/s,12717,Bento Gonçalves,138.59.48.128,6004
05 May 2023,22:17,311.21 Mb/s,38.45 Mb/s,12717,Bento Gonçalves,138.59.48.128,6026
05 May 2023,22:18,311.22 Mb/s,171.72 Mb/s,12717,Bento Gonçalves,138.59.48.128,5937
05 May 2023,22:19,273.82 Mb/s,60.26 Mb/s,12717,Bento Gonçalves,138.59.48.128,5789
05 May 2023,22:20,311.16 Mb/s,55.63 Mb/s,12717,Bento Gonçalves,138.59.48.128,5605
05 May 2023,22:21,311.18 Mb/s,70.65 Mb/s,12717,Bento Gonçalves,138.59.48.128,4681
05 May 2023,22:22,311.20 Mb/s,158.99 Mb/s,12717,Bento Gonçalves,138.59.48.128,5617
05 May 2023,22:23,311.19 Mb/s,172.09 Mb/s,12717,Bento Gonçalves,138.59.48.128,5375
05 May 2023,22:24,311.21 Mb/s,100.78 Mb/s,12717,Bento Gonçalves,138.59.48.128,5087
05 May 2023,22:25,310.49 Mb/s,160.02 Mb/s,12717,Bento Gonçalves,138.59.48.128,6131
05 May 2023,22:26,311.17 Mb/s,91.70 Mb/s,12717,Bento Gonçalves,138.59.48.128,5641
05 May 2023,22:27,310.94 Mb/s,159.01 Mb/s,12717,Bento Gonçalves,138.59.48.128,4136
05 May 2023,22:28,311.12 Mb/s,162.49 Mb/s,12717,Bento Gonçalves,138.59.48.128,4953
05 May 2023,22:29,311.09 Mb/s,116.96 Mb/s,12717,Bento Gonçalves,138.59.48.128,5837
05 May 2023,22:30,0.00 Mb/s,0.00 Mb/s,,,,0
05 May 2023,22:31,310.76 Mb/s,65.19 Mb/s,12717,Bento Gonçalves,138.59.48.128,6004
05 May 2023,22:32,311.21 Mb/s,170.97 Mb/s,12717,Bento Gonçalves,138.59.48.128,5184
05 May 2023,22:33,310.09 Mb/s,67.57 Mb/s,12717,Bento Gonçalves,138.59.48.128,5456
05 May 2023,22:34,311.08 Mb/s,172.32 Mb/s,12717,Bento Gonçalves,138.59.48.128,6030
05 May 2023,22:35,311.04 Mb/s,159.09 Mb/s,12717,Bento Gonçalves,138.59.48.128,7602
