Data,Hora,Download,Upload,ID do Servidor,Nome do Servidor,IP,Ping
06 May 2023,21:24,271.07 Mb/s,100.16 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.949
06 May 2023,21:25,238.78 Mb/s,102.26 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.763
06 May 2023,21:26,271.85 Mb/s,72.57 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.795
06 May 2023,21:27,251.60 Mb/s,64.30 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.111
06 May 2023,21:28,269.92 Mb/s,119.82 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.865
06 May 2023,21:29,273.01 Mb/s,90.02 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.799
06 May 2023,21:31,270.47 Mb/s,66.79 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.301
06 May 2023,21:32,265.14 Mb/s,171.98 Mb/s,54890,"Bento Gonçalves",138.59.48.28,10.553
06 May 2023,21:33,270.21 Mb/s,89.63 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.816
06 May 2023,21:34,255.53 Mb/s,118.10 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.814
06 May 2023,21:35,272.66 Mb/s,63.11 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.856
06 May 2023,21:36,248.14 Mb/s,148.65 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.768
06 May 2023,21:37,271.37 Mb/s,61.98 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.178
06 May 2023,21:38,264.85 Mb/s,101.01 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.876
06 May 2023,21:39,274.17 Mb/s,102.99 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.866
06 May 2023,21:40,265.50 Mb/s,150.31 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.932
06 May 2023,21:41,270.65 Mb/s,111.57 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.854
06 May 2023,21:42,264.38 Mb/s,76.03 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.779
06 May 2023,21:43,272.36 Mb/s,62.04 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.978
06 May 2023,21:44,271.01 Mb/s,63.44 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.808
06 May 2023,21:45,269.55 Mb/s,114.21 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.831
06 May 2023,21:46,261.56 Mb/s,98.83 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.771
06 May 2023,21:47,272.97 Mb/s,80.00 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.746
06 May 2023,21:48,256.03 Mb/s,71.37 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.912
06 May 2023,21:49,270.59 Mb/s,74.73 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.807
06 May 2023,21:50,266.02 Mb/s,171.10 Mb/s,54890,"Bento Gonçalves",138.59.48.28,10.600
06 May 2023,21:51,275.02 Mb/s,112.63 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.930
06 May 2023,21:52,263.50 Mb/s,173.33 Mb/s,54890,"Bento Gonçalves",138.59.48.28,10.793
06 May 2023,21:53,272.74 Mb/s,98.87 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.793
06 May 2023,21:54,247.18 Mb/s,61.22 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.717
06 May 2023,21:55,269.86 Mb/s,112.72 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.617
06 May 2023,21:56,256.33 Mb/s,76.33 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.847
06 May 2023,21:57,267.30 Mb/s,152.09 Mb/s,54890,"Bento Gonçalves",138.59.48.28,10.516
06 May 2023,21:58,268.21 Mb/s,161.80 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.153
06 May 2023,21:59,270.57 Mb/s,169.67 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.089
06 May 2023,22:01,268.85 Mb/s,158.41 Mb/s,12717,"Bento Gonçalves",138.59.48.28,6.267
06 May 2023,22:02,269.73 Mb/s,164.04 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.291
06 May 2023,22:03,268.26 Mb/s,162.71 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.945
06 May 2023,22:04,268.49 Mb/s,173.49 Mb/s,12717,"Bento Gonçalves",138.59.48.28,5.092
06 May 2023,22:05,269.65 Mb/s,167.94 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.451
06 May 2023,22:06,267.51 Mb/s,150.78 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.367
06 May 2023,22:07,269.03 Mb/s,174.62 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.356
06 May 2023,22:08,269.48 Mb/s,158.79 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.674
06 May 2023,22:09,267.32 Mb/s,161.17 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.550
06 May 2023,22:10,267.32 Mb/s,171.29 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.549
06 May 2023,22:11,267.66 Mb/s,171.57 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.016
06 May 2023,22:12,269.17 Mb/s,171.77 Mb/s,12717,"Bento Gonçalves",138.59.48.28,5.116
06 May 2023,22:13,271.58 Mb/s,170.93 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.112
06 May 2023,22:14,268.54 Mb/s,174.86 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.176
06 May 2023,22:15,264.62 Mb/s,174.72 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.426
06 May 2023,22:16,273.22 Mb/s,173.03 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.524
06 May 2023,22:17,271.51 Mb/s,174.88 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.500
06 May 2023,22:18,272.25 Mb/s,167.42 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.385
06 May 2023,22:19,263.49 Mb/s,175.02 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.670
06 May 2023,22:20,273.81 Mb/s,155.65 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.670
06 May 2023,22:21,266.69 Mb/s,172.76 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.285
06 May 2023,22:22,269.23 Mb/s,171.70 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.470
06 May 2023,22:23,261.36 Mb/s,173.24 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.559
06 May 2023,22:24,271.85 Mb/s,164.64 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.502
06 May 2023,22:25,264.38 Mb/s,173.73 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.154
06 May 2023,22:26,272.83 Mb/s,165.58 Mb/s,12717,"Bento Gonçalves",138.59.48.28,3.714
06 May 2023,22:27,267.05 Mb/s,169.84 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.593
06 May 2023,22:28,277.29 Mb/s,170.64 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.009
06 May 2023,22:29,266.03 Mb/s,171.32 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.159
06 May 2023,22:31,270.18 Mb/s,170.80 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.279
