Data,Hora,Download,Upload,ID do Servidor,Nome do Servidor,IP,Ping
06 May 2023,21:49,270.59 Mb/s,74.73 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.807
06 May 2023,21:51,275.02 Mb/s,112.63 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.930
06 May 2023,21:53,272.74 Mb/s,98.87 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.793
06 May 2023,21:54,247.18 Mb/s,61.22 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.717
06 May 2023,21:55,269.86 Mb/s,112.72 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.617
06 May 2023,21:56,256.33 Mb/s,76.33 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.847
06 May 2023,23:09,272.05 Mb/s,148.51 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.348
06 May 2023,23:23,268.44 Mb/s,138.77 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.049
06 May 2023,23:29,270.19 Mb/s,138.99 Mb/s,12717,"Bento Gonçalves",138.59.48.28,4.249
06 May 2023,23:38,273.51 Mb/s,121.13 Mb/s,12717,"Bento Gonçalves",138.59.48.28,3.824
